2016-07-28;2019-07-28;100.000000;2.430000;12;1;700000;100.8000;1232;160016;A;T00005
2016-08-04;2017-02-04;98.528800;0.000000;0;3;1500000;99.2706;2052;111695937;A;T00005
2015-03-18;2017-01-26;100.000000;5.300000;1;1;42900;4.3164;2302;1589047;H;T00003
2016-08-23;2023-08-23;100.000000;2.780000;12;1;28000000;99.5511;2152;1605492;A;T00005
2013-04-11;2023-04-11;100.000000;4.150000;12;1;1000000;107.5393;2142;130222;H;T00003
2016-08-25;2026-08-25;100.000000;3.050000;12;1;2000000;99.1741;2142;160213;A;T00005
2016-02-26;2026-02-26;100.000000;3.370000;12;1;700000;102.2114;2352;160408;T;T01006
2011-01-11;2018-01-11;100.000000;3.950000;6;1;200000;102.9118;2142;110201;H;T00003
2016-08-04;2026-08-04;100.000000;2.740000;6;1;200000;99.5335;1232;160017;T;T01106
2016-10-20;2019-10-20;100.000000;2.650000;12;1;2000000;99.4145;2142;160215;A;T00005
2016-10-20;2021-10-20;100.000000;2.390000;12;1;600000;99.0047;1232;160021;A;T00005
2016-10-20;2021-10-20;100.000000;2.390000;12;1;22900000;99.0047;1232;160021;A;T00001
2016-09-01;2023-09-01;100.000000;2.750000;12;1;2100000;99.9730;1232;160020;H;T00003
2016-09-12;2017-03-13;98.988000;0.000000;0;3;300000;99.3420;1232;169942;H;T00003
2011-04-19;2021-04-19;100.000000;4.440000;6;1;2000000;105.7845;2142;110226;H;T00003
2006-11-15;2021-11-15;100.000000;3.270000;6;1;5000000;102.8735;1232;060019;H;SX
2016-09-28;2019-01-26;100.000000;3.290000;12;1;600000;100.0346;1332;1689204;A;T00005
2016-10-14;2019-10-14;100.000000;2.400000;12;1;7400000;99.6513;2152;1605602;A;T00005
2016-10-14;2021-10-14;100.000000;2.520000;12;1;8200000;98.8505;2152;1605603;A;T00005
2016-10-14;2026-10-14;100.000000;2.790000;6;1;12500000;98.1617;2152;1605604;A;T00005
2016-09-05;2026-09-05;100.000000;3.180000;12;1;1500000;99.1773;1322;160310;A;T00005
